time_ms csd_trace16
1.687517517517517263e+02 1.545581787109374972e+01
1.692522522522522195e+02 1.482471435546874972e+01
1.697527527527527695e+02 1.427027099609374972e+01
1.702532532532532628e+02 1.430835693359374972e+01
1.707537537537537560e+02 1.457666748046874972e+01
1.712542542542542492e+02 1.434961669921874972e+01
1.717547547547547424e+02 1.412940185546874972e+01
1.722552552552552640e+02 1.382569091796874972e+01
1.727557557557557573e+02 1.318384521484374972e+01
1.732562562562562789e+02 1.325293701171874972e+01
1.737567567567567153e+02 1.416529052734374972e+01
1.742572572572572085e+02 1.532569091796874972e+01
1.747577577577577586e+02 1.457105224609374972e+01
1.752582582582582518e+02 1.369702880859374972e+01
1.757587587587587450e+02 1.314405029296874972e+01
1.762592592592592382e+02 1.321216552734374972e+01
1.767597597597597314e+02 1.363281982421874972e+01
1.772602602602602815e+02 1.392090576171874972e+01
1.777607607607607747e+02 1.345825927734374972e+01
1.782612612612612679e+02 1.318164794921874972e+01
1.787617617617617611e+02 1.407178466796874972e+01
1.792622622622622544e+02 1.417798583984374972e+01
1.797627627627628044e+02 1.458301513671874972e+01
1.802632632632632976e+02 1.379322021484374972e+01
1.807637637637637340e+02 1.302686279296874972e+01
1.812642642642642272e+02 1.305689208984374972e+01
1.817647647647647204e+02 1.332569091796874972e+01
1.822652652652652705e+02 1.271924560546874972e+01
1.827657657657657637e+02 1.284864013671874972e+01
1.832662662662662569e+02 1.322510498046874972e+01
1.837667667667667502e+02 1.439771240234374972e+01
1.842672672672673002e+02 1.450708740234374972e+01
1.847677677677677934e+02 1.334400146484374972e+01
1.852682682682682866e+02 1.232520263671874972e+01
1.857687687687687799e+02 1.157666748046874972e+01
1.862692692692692731e+02 1.189502685546874972e+01
1.867697697697698231e+02 1.138355224609374972e+01
1.872702702702702595e+02 1.198731201171874972e+01
1.877707707707707527e+02 1.179785888671874972e+01
1.882712712712712460e+02 1.160864990234374972e+01
1.887717717717717392e+02 1.061475341796874972e+01
1.892722722722722892e+02 1.043115966796874972e+01
1.897727727727727824e+02 1.071948974609374972e+01
1.902732732732732757e+02 9.981940917968749716e+00
1.907737737737737689e+02 1.029175537109374972e+01
1.912742742742742621e+02 1.087134521484374972e+01
1.917747747747748122e+02 1.112476318359374972e+01
1.922752752752753054e+02 1.027124755859374972e+01
1.927757757757757986e+02 1.036499755859374972e+01
1.932762762762762918e+02 1.107520263671874972e+01
1.937767767767767282e+02 1.075562255859374972e+01
1.942772772772772782e+02 1.076148193359374972e+01
1.947777777777777715e+02 1.012842529296874972e+01
1.952782782782782647e+02 1.049414794921874972e+01
1.957787787787787579e+02 1.100147216796874972e+01
1.962792792792792511e+02 1.062769287109374972e+01
1.967797797797798012e+02 1.031812255859374972e+01
1.972802802802802944e+02 1.084082763671874972e+01
1.977807807807807876e+02 1.034302490234374972e+01
1.982812812812812808e+02 1.045288818359374972e+01
1.987817817817817740e+02 1.080005615234374972e+01
1.992822822822823241e+02 1.075440185546874972e+01
1.997827827827828173e+02 1.067627685546874972e+01
2.002832832832833105e+02 1.102588623046874972e+01
2.007837837837837469e+02 1.028491943359374972e+01
2.012842842842842401e+02 1.086963623046874972e+01
2.017847847847847902e+02 1.106519287109374972e+01
2.022852852852852834e+02 1.089673583984374972e+01
2.027857857857857766e+02 1.091358154296874972e+01
2.032862862862862698e+02 1.081739013671874972e+01
2.037867867867867631e+02 1.079126708984374972e+01
2.042872872872873131e+02 1.023755615234374972e+01
2.047877877877878063e+02 1.044483154296874972e+01
2.052882882882882996e+02 1.017041748046874972e+01
2.057887887887887928e+02 9.796394042968749716e+00
2.062892892892892860e+02 9.867683105468749716e+00
2.067897897897898360e+02 9.422126464843749716e+00
2.072902902902902724e+02 8.903815917968749716e+00
2.077907907907907656e+02 9.285651855468749716e+00
2.082912912912912589e+02 1.027783935546874972e+01
2.087917917917917521e+02 1.087451904296874972e+01
2.092922922922923021e+02 1.032349365234374972e+01
2.097927927927927954e+02 9.747321777343749716e+00
2.102932932932932886e+02 9.314948730468749716e+00
2.107937937937937818e+02 9.185554199218749716e+00
2.112942942942942750e+02 1.032056396484374972e+01
2.117947947947948251e+02 9.847907714843749716e+00
2.122952952952953183e+02 9.197517089843749716e+00
2.127957957957958115e+02 8.558601074218749716e+00
2.132962962962963047e+02 8.075446777343749716e+00
2.137967967967967411e+02 8.593024902343749716e+00
2.142972972972972912e+02 8.500983886718749716e+00
2.147977977977977844e+02 8.620856933593749716e+00
2.152982982982982776e+02 7.562019042968749716e+00
2.157987987987987708e+02 7.492438964843749716e+00
2.162992992992993209e+02 8.073737792968749716e+00
2.167997997997998141e+02 7.193366699218749716e+00
2.173003003003003073e+02 6.741462402343749716e+00
2.178008008008008005e+02 6.170905761718749716e+00
2.183013013013012937e+02 6.102058105468749716e+00
2.188018018018018438e+02 6.228034667968749716e+00
2.193023023023023370e+02 6.652595214843749716e+00
2.198028028028028302e+02 6.867927246093749716e+00
2.203033033033033234e+02 6.435065917968749716e+00
2.208038038038037598e+02 6.020515136718749716e+00
2.213043043043043099e+02 5.957526855468749716e+00
2.218048048048048031e+02 6.038093261718749716e+00
2.223053053053052963e+02 5.950690917968749716e+00
2.228058058058057895e+02 4.820075683593749716e+00
2.233063063063062827e+02 4.535651855468749716e+00
2.238068068068068328e+02 5.145270996093749716e+00
2.243073073073073260e+02 5.360358886718749716e+00
2.248078078078078192e+02 5.232917480468749716e+00
2.253083083083083125e+02 5.555427246093749716e+00
2.258088088088088057e+02 5.196540527343749716e+00
2.263093093093093557e+02 5.085944824218749716e+00
2.268098098098098490e+02 5.228767089843749716e+00
2.273103103103102853e+02 5.834235839843749716e+00
2.278108108108107785e+02 6.277351074218749716e+00
2.283113113113112718e+02 6.043952636718749716e+00
2.288118118118118218e+02 5.154548339843749716e+00
